,0
0,12911606434.27205
1,7421163.491681773
2,7081355.846988831
3,7016764.219887851
4,6993310.343582988
5,6982654.091939429
6,6976956.17054081
7,6973700.4485058505
8,6971543.191058307
9,6970160.132339241
10,6969242.893616407
11,6968643.169716662
12,6968264.41413169
13,6967943.323408209
14,6967703.494054033
15,6967450.593883831
16,6967241.227994319
17,6967030.129817481
18,6966866.048184908
19,6966721.06595787
20,6966596.296288116
21,6966477.888914729
22,6966368.2876147535
23,6966279.435342292
24,6966148.589301681
25,6966038.984339167
26,6965932.038860969
27,6965851.70928913
28,6965769.313126204
29,6965682.543420185
30,6965582.896979124
31,6965496.4168942105
32,6965426.998992108
33,6965321.337397243
34,6965234.105978522
35,6965156.864832567
36,6965101.976618344
37,6965041.299477693
38,6964969.444334252
39,6964879.939448739
40,6964806.30629079
41,6964748.5861519575
42,6964657.99324256
43,6964584.237508447
44,6964523.514899233
45,6964482.926239882
